,planet_name,star_name,disposition,is_planet,prediction_probability,predicted_is_planet,right_ascens,declination,distance_pc,planet_radius,planet_temp,planet_insolation,period,orbit_semi_major_axis,trans_depth,trans_duration,transit_midpoint,impact,stellar_radius,stellar_temp,stellar_logg,stellar_luminosity,stellar_mass,tmag,planet_star_radius_ratio,fitted_stellar_density,planet_count
0,1000.01,TOI-1000,FP,0,0.3452997803688049,0.0,112.357708,-12.69596,485.735,5.8181633,3127.2040524,22601.9485814,2.1713484,0.045465273654238,0.0006568860989,2.0172196,2459229.630046,0.8657324602510207,2.16986,10249.0,4.19,46.80401163916928,5.28812498240133e+30,9.604,2.681354234835428,102.20057181266075,1
1,1001.01,TOI-1001,PC,1,0.6274043321609497,1.0,122.580465,-5.513852,295.862,11.2154,4045.0,44464.5,1.9316462,0.0353444655587029,0.001286,3.166,2459987.948873,0.6683366503472771,2.01,7070.0,4.03,9.094177956105376,3.13928249159554e+30,9.42344,5.579800995024876,143.97899517355185,1
2,1002.01,TOI-1002,FP,0,,,104.726966,-10.580455,943.109,23.7529,2037.0,2860.61,1.8675574,,0.0015,1.408,2459224.687802,,5.73,8924.0,,187.60360028792243,,9.299501,4.145357766143106,,1
3,1003.01,TOI-1003,FP,0,,,110.559945,-25.207017,7728.17,,1631.0,1177.36,2.74323,,0.00038341,3.167,2458493.3957,,,5388.5,4.15,,,9.3003,,,1
4,1004.01,TOI-1004,FP,0,0.568667471408844,1.0,122.178195,-48.802811,356.437,11.3113,4260.0,54679.3,3.5730141,0.0606114189781388,0.000755,3.37,2459987.047262,0.7338331184887853,2.15,9219.0,4.14,30.08194119774054,4.627167307891058e+30,9.1355,5.26106976744186,189.27867025935348,1
5,1005.01,TOI-1005,FP,0,,,120.704811,-11.101521,100.711,7.10841,1257.0,414.775,4.5505945,,0.003731,2.654,2459985.156855,,1.09,5613.0,,1.0624948728757782,,9.1309,6.521477064220183,,1
6,1006.01,TOI-1006,FP,0,,,124.359239,-27.273521,,8.6950898,1649.8220699,1750.932635,2.5047918,,0.0022705402194,4.3797563,2459229.984579,,1.53429,6616.0,,4.063409329142868,,9.2386,5.66717491478143,,1
7,1007.01,TOI-1007,PC,1,0.7867835164070129,1.0,112.752393,-4.463359,283.291,14.7752,1282.0,448.744,6.9989206,0.0794027502691286,0.00284,3.953,2459247.930695,0.9402913739114636,2.7,6596.0,3.71,12.432079952170229,2.711226566520749e+30,8.87759,5.472296296296296,250.92922808093135,1
8,1008.01,TOI-1008,FP,0,,,109.382839,13.395219,144.297,3.19621,,5644.4,2.0483755,0.0355177250989636,0.000483,2.767,2460258.236122,0.545628926932253,1.57,6858.5,4.2,4.913710378950123,2.832941378715767e+30,8.9362,2.0358025477707007,21.71868529746823,1
9,1009.01,TOI-1009,PC,1,,,111.667845,-24.462111,866.147,,1456.4246534,1063.3422958,1.9600277,,0.0017076272693,2.0065257,2459229.230924,,,8868.7,,,,8.4331,,,1
10,101.01,TOI-101,KP,2,0.5118045210838318,1.0,318.737012,-55.871863,375.31,13.1874503,1525.9048089,1281.2408254,1.4303699,0.0239085325699964,0.0189607122944,1.6165994,2458326.009117,0.7486319848901694,0.890774,5600.0,4.48851,0.703041320422472,1.7720800963283063e+30,12.4069,14.804484975987176,11234.166918098696,1
11,1010.01,TOI-1010,FP,0,,,112.293981,-21.832912,485.122,5.9115908,4382.0266062,87140.6995884,0.6808702,,0.0015078006889,2.4634563,2459228.878101,,1.0,9438.0,,7.148477758788315,,8.45086,5.9115908,,1
12,1011.01,TOI-1011,PC,1,0.562383770942688,1.0,113.984761,-32.841999,52.62,1.44656,1364.0,575.597,2.4704981,0.0349017532129617,0.00025,2.191,2459984.627768,0.4114240419399953,0.94,5413.7,4.46,0.683795326476439,1.8479660583493032e+30,8.2388,1.5388936170212768,31.15140380228287,1
13,1012.01,TOI-1012,APC,1,0.3628129065036773,0.0,117.095285,6.785064,295.959,24.8132,5098.0,112144.0,0.884182,0.0236036612791621,0.00189,1.621,2459252.509595,0.9866719060471766,2.72,8928.0,3.92,42.34949273589534,4.462478031551097e+30,8.12718,9.1225,1790.0248494485515,1
14,1013.01,TOI-1013,FP,0,,,107.286063,-31.933523,510.295,,1037.2753045,273.5880696,5.4255548,,0.0149396342222,3.9637474,2459232.248322,,,8868.7,,,,7.6095,,,1
15,1014.01,TOI-1014,FP,0,,,103.561602,-34.22282,224.672,,1625.6180218,1650.422071,1.4095184,,0.0028415103258,0.9484999,2459985.657041,,,9307.0,,,,7.678,,,1
